Generation,Max Fitness,Avg Fitness,Best Individual
20,0.43,0.4226666666666667,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
21,0.43,0.4253333333333334,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
22,0.43,0.4253333333333334,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
23,0.43,0.4253333333333334,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
24,0.43,0.4266666666666667,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
25,0.43,0.4266666666666667,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
26,0.43,0.428,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
27,0.43,0.42866666666666664,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
28,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
29,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
30,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
31,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
32,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
33,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
34,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
35,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
36,0.43,0.42999999999999994,"[0.00044646427977712994, 0.0004994694662436487, 0.0005575421538941749, 0.12568157843253674, 0.7027143713141203, 0.1168782871396035, 3.7931588311679e-05, 0.05269734283183083, 6.0128090564040944e-05, 0.0004268847031177516]"
37,0.44,0.4306666666666666,"[0.00044649908067582447, 0.0004995083987788661, 0.000557585613066374, 0.12569137503234756, 0.7027013533715288, 0.11687612194291154, 3.793088562043033e-05, 6.634109559715257e-05, 0.052696366601641564, 0.0004269179778319457]"
