Generation,Max Fitness,Avg Fitness,Best Individual
29,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
30,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
31,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
32,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
33,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
34,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
35,0.37,0.36333333333333334,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
36,0.37,0.36600000000000016,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
37,0.37,0.36600000000000016,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
38,0.37,0.36600000000000016,"[0.029043541332540352, 0.057017052829979584, 0.08953077318555402, 0.15057024626799048, 0.18182447746717145, 0.18444382757527542, 0.12574501554476172, 0.03751353685030798, 0.01623736872770655, 0.12807416021871243]"
39,0.38,0.3673333333333335,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
40,0.38,0.3673333333333335,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
41,0.38,0.3673333333333335,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
42,0.38,0.3673333333333335,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
43,0.38,0.3673333333333335,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
44,0.38,0.36800000000000016,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
45,0.38,0.36800000000000016,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
46,0.38,0.3686666666666668,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
47,0.38,0.3700000000000001,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
48,0.38,0.3713333333333334,"[0.02661712390032679, 0.05225361267865409, 0.014880831861796043, 0.13799098583503466, 0.16663410943738965, 0.16903462821598722, 0.11551189537822547, 0.11765149442899159, 0.0820510025098757, 0.11737431575371876]"
49,0.41,0.37600000000000006,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
50,0.41,0.3766666666666667,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
51,0.41,0.3786666666666667,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
52,0.41,0.3786666666666667,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
53,0.41,0.3813333333333333,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
54,0.41,0.3813333333333333,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
55,0.41,0.38333333333333336,"[0.02637782794284382, 0.0517838369686748, 0.014747048703185587, 0.11482441969828723, 0.16513601862500654, 0.18001178455956035, 0.11273623356360533, 0.1367504053274236, 0.08131333929421185, 0.1163190853172008]"
