Generation,Max Fitness,Avg Fitness,Best Individual
36,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
37,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
38,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
39,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
40,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
41,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
42,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
43,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
44,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
45,0.42,0.42,"[0.0008101432258927557, 0.0009063251483848944, 0.001011702435304567, 0.0004201625606139369, 0.001398334007709396, 0.9928740026925409, 0.0006537666438508935, 0.001041841712453106, 0.00010910697106751865, 0.0007746146021821162]"
