Generation,Max Fitness,Avg Fitness,Best Individual
55,0.38,0.3586666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
56,0.38,0.3626666666666666,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
57,0.38,0.36533333333333323,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
58,0.38,0.36533333333333323,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
59,0.38,0.36533333333333323,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
60,0.38,0.36533333333333323,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
61,0.38,0.368,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
62,0.38,0.37066666666666664,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
63,0.38,0.37333333333333335,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
64,0.38,0.37600000000000006,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
65,0.38,0.37600000000000006,"[0.0004170127057470792, 0.0002435426335479813, 0.0006703962502899446, 0.6644191800896051, 0.13818014743042387, 0.08767056599732845, 5.925014003625992e-05, 0.1065181439631646, 1.4809161848222899e-05, 0.0018069516280083795]"
